 Round, Category, Value, Question, Answer
Double Jeopardy!,THE Is HAVE IT,800,"From the Latin for to overhang, it means likely to happen at any moment",Imminent
Double Jeopardy!,ALASKA,1000,The mainland peninsula closest to Russia is named for this man,William Seward
Double Jeopardy!,INTERNATIONAL SPORTSMEN,1000,New Zealand-born Jonah Lamu is tops on the pitch of this sport,Rugby
Double Jeopardy!,DRAMA QUEENS,1000,"The queen in Marlowe's Edward II is named this, like a famous queen of Spain",Isabella
Double Jeopardy!,ANGELS,1000,"With an appropriate-sounding name, John Dye plays the angel of this on Touched By An Angel",Angel of Death
Double Jeopardy!,IN EXILE,1000,Moshoeshoe II was exiled twice before regaining this southern African country's throne in 1995,Lesotho
Double Jeopardy!,THE Is HAVE IT,1000,"Some scientists believe that the universe is undergoing expansion called this, also an economic term",Inflation
Final Jeopardy!,THE MAP OF EUROPE,,"Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries",Slovenia
Jeopardy!,THE CIVIL WAR,200,"His first act after being sworn in as president of the Confederacy was to send a peace commission to Washington, D.C.",Jefferson Davis
Jeopardy!,CELEBS,200,"On Sept. 14, 2005 she gave birth to Sean Preston Federline",Britney Spears
Jeopardy!,WHAT'S IN A NAME?,200,"Yeah, baby!  Meaning magnificent, this Texas-sounding name comes with certain Powers",Austin
Jeopardy!,EMOTICONS,200,;-) Ocular act that sends a signal,winking
Jeopardy!,FLAG 'EM DOWN,200,The Alamo is located in this city & is depicted on its flag,San Antonio
Jeopardy!,TEEN SCENE,200,"Numerically speaking, read up on Fun Stuff, Fashion, Health & Stars at this magazine.com",seventeen.com
Jeopardy!,THE CIVIL WAR,400,"Tired of eating mule jerky, Vicksburg fell in July 1863 after a 6-week one of these military tactics",a siege
Jeopardy!,CELEBS,400,The TV show Everybody Hates Chris is based on the childhood of this comic,Chris Rock
Jeopardy!,WHAT'S IN A NAME?,400,This name shared by great & terrible rulers is a Russian variation of John,Ivan
Jeopardy!,EMOTICONS,400,:- It's where this emoticon tells you to put your money,where your mouth is
Jeopardy!,FLAG 'EM DOWN,400,This descriptive nickname of the U.S. flag was coined by Francis Scott Key,the Star-Spangled Banner
Jeopardy!,TEEN SCENE,400,"If you're triskaidekaphobic, you're afraid of this number, & not just on a Friday",thirteen
Jeopardy!,THE CIVIL WAR,600,Robert E. Lee saved this capital from capture with his June 1862 attack on McClellan's forces,Richmond
Jeopardy!,CELEBS,600,He auditioned for & won the part of Ron Weasley with a rap that he wrote,Rupert Grint
Jeopardy!,WHAT'S IN A NAME?,600,This feminine form of Rex is from the Latin for queen,Regina
Jeopardy!,EMOTICONS,600,:-* Gene Simmons might accept one of these from any pretty woman,a kiss
Jeopardy!,FLAG 'EM DOWN,600,"The 2 colors found on all 3 national flags of the U.S., Mexico & Canada",red & white
Jeopardy!,TEEN SCENE,600,"A holder for liquid, or a military base's general store",a canteen
Jeopardy!,THE CIVIL WAR,800,In Feb. 2005 a reenactment was staged for this 140th anniversary of this fort's reoccupation by Union troops,Fort Sumter
Jeopardy!,CELEBS,800,Her 18th birthday party was A Cinderella Story with 300 guests & red velvet cake,Hilary Duff
Jeopardy!,WHAT'S IN A NAME?,1200,This Welsh form of Margaret was among the USA's top 10 girls' names of the 1990s,Megan
Jeopardy!,EMOTICONS,800,=|:-)= This is an extension of the initials U.S.,Uncle Sam
Jeopardy!,FLAG 'EM DOWN,800,The <a href=http://www.j-archive.com/media/2006-02-06_J_29.jpg target=_blank>flag</a> of this U.S. possession is almost the same as the flag of Cuba,Puerto Rico
Jeopardy!,TEEN SCENE,800,"Golfing hole with a bar (where you can't go), or the amendment granting women's suffrage",19th
Jeopardy!,THE CIVIL WAR,1000,"On Sept. 2, 1864 this general sent a wire saying, Atlanta is ours, and fairly won",Sherman
Jeopardy!,CELEBS,1000,You Stand Watching this Shine On singer,Ryan Cabrera
Jeopardy!,WHAT'S IN A NAME?,1000,"Previously attached to Theo- & Isa-, it became popular by itself after appearing in David Copperfield",Dora
Jeopardy!,EMOTICONS,1000,:-b.. Doing this means either you're hungry or you're a pig,drooling
Jeopardy!,FLAG 'EM DOWN,1000,The first 50-star U.S. flag was officially raised on July 4 of this year,1960
Jeopardy!,TEEN SCENE,1000,Number of lines in Shakespeare's poem that starts Shall I compare thee to a summer's day?,14
Double Jeopardy!,NOT A CURRENT NATIONAL CAPITAL,400,"Ljubljana, Bratislava, Barcelona",Barcelona
Double Jeopardy!,U.S. WINTER OLYMPIANS,400,"Mike Eruzione of Winthrop, Mass. was captain of the miraculous 1980 Olympic team in this sport",hockey
Double Jeopardy!,SCIENCE,400,"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound
Double Jeopardy!,WORDS OF THE WRITER,400,I beheld the wretch--the miserable monster whom I had created,Mary Shelley
Double Jeopardy!,AT THE MALL,400,"Found just what I needed at this City, an electronics store",Circuit City
Double Jeopardy!,FROM THE GREEK,400,The name of this color comes from the Greek word porphyra,purple
Double Jeopardy!,NOT A CURRENT NATIONAL CAPITAL,800,"Istanbul, Ottawa, Amman",Istanbul
Double Jeopardy!,U.S. WINTER OLYMPIANS,800,"(<a href=http://www.j-archive.com/media/2006-02-06_DJ_23.jpg target=_blank>Jimmy of the Clue Crew puts some lines on the ice in the Olympic Oval rink at Park City, UT.</a>)  In 1998, <a href=http://www.j-archive.com/media/2006-02-06_DJ_23a.jpg target=_blank>this U.S. skater</a> was 2nd at Nagano; in 2002, she was 3rd here in Utah",Michelle Kwan
Double Jeopardy!,SCIENCE,800,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
Double Jeopardy!,WORDS OF THE WRITER,800,"Take thy beak from out my heart, and take thy form from off my door!",Edgar Allan Poe
Double Jeopardy!,AT THE MALL,800,SKX is the stock symbol for this manufacturer of sporty shoes,Skechers
Double Jeopardy!,FROM THE GREEK,1000,"A bowl-shaped depression, as from the impact of a meteorite, it's from the Greek for mixing bowl",crater
Double Jeopardy!,NOT A CURRENT NATIONAL CAPITAL,1200,"Sofia, Sarajevo, Saigon",Saigon
Double Jeopardy!,U.S. WINTER OLYMPIANS,1200,"Life has its ups & downs for Travis Mayer, a 2002 medalist in the event named for these little hills on the slopes",moguls
Double Jeopardy!,SCIENCE,1200,"(<a href=http://www.j-archive.com/media/2006-02-06_DJ_13.jpg target=_blank>Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href=http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg target=_blank>the deformation</a>",strain
Double Jeopardy!,WORDS OF THE WRITER,1500,"Do all lawyers defend n-negroes, Atticus?'  'Of course they do, Scout'",Harper Lee
Double Jeopardy!,AT THE MALL,1200,This Urban store is the parent company of Anthropologie,Urban Outfitters
Double Jeopardy!,FROM THE GREEK,1200,"From the Greek for false name, it's a fictitious name used by an author",a pseudonym
Double Jeopardy!,NOT A CURRENT NATIONAL CAPITAL,1600,"Bucharest, Bonn, Bern",Bonn
Double Jeopardy!,U.S. WINTER OLYMPIANS,1600,In 2002 Vonetta Flowers & Jill Bakken won gold in the 2-woman version of this high-speed sport,the bobsled
Double Jeopardy!,SCIENCE,1600,6 elements once known as inert gases are now known by this aristocratic name,noble gases
Double Jeopardy!,WORDS OF THE WRITER,1600,"For never man had a more faithful, loving, sincere servant, than Friday was to me",Daniel Defoe
Double Jeopardy!,AT THE MALL,1600,"This bookstore chain is named for its edgy founders, brothers Tom & Louis",Borders
Double Jeopardy!,FROM THE GREEK,1600,(<a href=http://www.j-archive.com/media/2006-02-06_DJ_04.jpg target=_blank>Jon of the Clue Crew paddles his kayak.</a>)  Kayak is an example of this type of reversible word from the Greek for running back again,a palindrome
Double Jeopardy!,NOT A CURRENT NATIONAL CAPITAL,2000,"Belize City, Guatemala City, Panama City",Belize City
Double Jeopardy!,U.S. WINTER OLYMPIANS,2000,His Bode of work includes 2 Alpine skiing silver medals in 2002,Bode Miller
Double Jeopardy!,SCIENCE,2000,"(<a href=http://www.j-archive.com/media/2006-02-06_DJ_15.wmv>A honey-colored retriever named Max tries to lick Cheryl of the Clue Crew as she pets him at NC State University in Raleigh, NC.</a>)  Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for the tail",the caudal region
Double Jeopardy!,WORDS OF THE WRITER,2000,...Why look'st thou so?'--'With my crossbow I shot the albatross',Samuel Taylor Coleridge
Double Jeopardy!,AT THE MALL,2000,The name of this clothing store for teens is French for airmail,Aéropostale
Double Jeopardy!,FROM THE GREEK,2000,It's an outline of the contents of a course or curriculum,a syllabus
Final Jeopardy!,FAMOUS SHIPS,,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle
Jeopardy!,OLD FOLKS IN THEIR 30s,200,goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials,Gwyneth Paltrow
Jeopardy!,MOVIES & TV,200,"On March 19, 2009 he said, I'm excited and honored to introduce my first guest... Barack Obama",Jay Leno
Jeopardy!,A STATE OF COLLEGE-NESS,200,"Baylor, Stephen F. Austin, Rice",Texas
Jeopardy!,ANIMAL COLLECTIVE,200,Synonym for dignity that's the term for a group of lions,a pride
Jeopardy!,I'D RATHER BE SKIING,200,"If you're a beginner, you might hippity-hop over to this smaller, gentler slope",a bunny hill
Jeopardy!,PARLEZ VOUS?,200,"If your mate from Marseilles says he's getting to LAX via Sud-Ouest, pick him up at this carrier",Southwest
Jeopardy!,OLD FOLKS IN THEIR 30s,400,In 2008 David Gregory became moderator of this NBC Sunday morning news show,Meet the Press
Jeopardy!,MOVIES & TV,400,Time magazine said this 2003 Pixar film was the ultimate fish-out-of-water story,Finding Nemo
Jeopardy!,A STATE OF COLLEGE-NESS,400,"Antioch, Bowling Green, Kent State",Ohio
Jeopardy!,ANIMAL COLLECTIVE,400,"Like peas, whales & seals are in groups called these",pods
Jeopardy!,I'D RATHER BE SKIING,400,"Something you'd sprinkle on after a shower, it's also the term for soft, dry, freshly fallen snow",powder
Jeopardy!,PARLEZ VOUS?,400,"Duck, duck, l'oie; (l'oie of course referring to this other feathered friend)",a goose
Jeopardy!,OLD FOLKS IN THEIR 30s,600,Linus Torvalds is the father of this operating system used on cell phones & supercomputers,Linux
Jeopardy!,MOVIES & TV,600,"Of his dialogue, this Han Solo actor said, You can type this (stuff), George, but you sure can't say it",Harrison Ford
Jeopardy!,A STATE OF COLLEGE-NESS,600,"DePaul, Wheaton, Northwestern",Illinois
Jeopardy!,ANIMAL COLLECTIVE,600,A crash is a group of these large horned mammals,rhinoceroses
Jeopardy!,I'D RATHER BE SKIING,600,"In California, a premier spot for skiing is this resort area that shares its name with a prehistoric elephant",Mammoth
Jeopardy!,PARLEZ VOUS?,600,"Je ne sais pas means this, but you still get credit if you phrase it in the form of a question",I don't know
Jeopardy!,OLD FOLKS IN THEIR 30s,800,"The district of conservative rep. Patrick McHenry in this state includes Mooresville, a home of NASCAR",North Carolina
Jeopardy!,MOVIES & TV,800,Tim Robbins played a public TV newsman in Anchorman: The Legend of him,Ron Burgundy
Jeopardy!,A STATE OF COLLEGE-NESS,800,"Wayne State, Kalamazoo College, Madonna University (it's Franciscan Catholic, not Material Girl)",Michigan
Jeopardy!,ANIMAL COLLECTIVE,800,"It can be a pack of dogs, or a place to board them",a kennel
Jeopardy!,I'D RATHER BE SKIING,1200,In this type of race you have to zigzag between flags or other obstacles in proper order,a slalom
Jeopardy!,PARLEZ VOUS?,800,"When mom tells you to do something Maintenant!, she means this",now
Jeopardy!,OLD FOLKS IN THEIR 30s,1000,Elon Musk is now making rockets & electric cars; before that he co-founded & sold this electronic payment system,PayPal
Jeopardy!,MOVIES & TV,1000,"We were frakkin' sad when this sci fi show had its series finale on March 20, 2009",Battlestar Galactica
Jeopardy!,A STATE OF COLLEGE-NESS,1000,"Grambling, McNeese State, Southern",Louisiana
Jeopardy!,ANIMAL COLLECTIVE,1000,A flock of these black birds is called a murder,crows
Jeopardy!,I'D RATHER BE SKIING,1000,"Bumps or mounds of snow that accumulate on a slope are called these, like some very wealthy & powerful people",moguls
Jeopardy!,PARLEZ VOUS?,1000,Huitieme is French for this ordinal number,eighth
Double Jeopardy!,AMERICAN AUTHORS,400,Her home Orchard House was the model for whre the March family lived in her most famous novel,Louisa May Alcott
Double Jeopardy!,ALBUMS THAT ROCK,400,"X&Y, Parachutes",Coldplay
Double Jeopardy!,ANATOMY,400,This cord that connects a fetus to the placenta contains 2 arteries & 1 vein,the umbillical cord
Double Jeopardy!,MATHEM-ATTACK!,400,Che Guevara probably knew the political-sounding term for the root symbol seen <a href=http://www.j-archive.com/media/2009-05-08_DJ_26.jpg target=_blank>here</a>,radical
Double Jeopardy!,NAME THE DECADE,400,The World Wide Web gets its first page,the 1990s
Double Jeopardy!,WORD ORIGINS,400,"This adjective meaning deceptive or sneaky is from the Latin de via, meaning out of the way",devious
Double Jeopardy!,AMERICAN AUTHORS,800,"During the War Of 1812, this Rip Van Winkle author wrote biographies of Naval commanders",Washington Irving
Double Jeopardy!,ALBUMS THAT ROCK,800,"American Idiot, Dookie",Green Day
Double Jeopardy!,ANATOMY,800,"The human body has 3 types of these: skeletal, smooth & cardiac, a combination of skeletal & smooth",muscles
Double Jeopardy!,MATHEM-ATTACK!,800,You should answer this one automatically: It's the property that says a = a,reflexive
Double Jeopardy!,NAME THE DECADE,800,The first controlled nuclear chain reaction,the 1940s
Double Jeopardy!,WORD ORIGINS,800,This New York island's name may come from the Algonquian word for island,Manhattan
Double Jeopardy!,AMERICAN AUTHORS,1200,"Susan & Benjamin Cheever, children of this short story master, are both authors as well",John Cheever
Double Jeopardy!,ALBUMS THAT ROCK,1200,"Master of Puppets, Death Magnetic",Metallica
Double Jeopardy!,ANATOMY,1200,The talus fits between the ends of these 2 bones forming the ankle joint,the tibia & fibula
Double Jeopardy!,MATHEM-ATTACK!,1200,"(<a href=http://www.j-archive.com/media/2009-05-08_DJ_28.jpg target=_blank>Kelly of the Clue Crew shows an array of numbers enclosed in brackets on the monitor.</a>)  A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film",a matrix
Double Jeopardy!,NAME THE DECADE,1200,Khruschev's Secret Speech denounces Stalin,the 1950s
Double Jeopardy!,WORD ORIGINS,4800,This compass direction may come from the Proto-Germanic for to the left of the rising sun,north
Double Jeopardy!,AMERICAN AUTHORS,1600,He stood 5'3 & was the subject of movies that came out in 2005 & 2006,(Truman) Capote
Double Jeopardy!,ALBUMS THAT ROCK,1600,"In Your Honor, The Color and the Shape",Foo Fighters
Double Jeopardy!,ANATOMY,1600,"Humans have 33 vertebrae, 7 of them cervical, meaning they are in this part of the body",your neck
Double Jeopardy!,MATHEM-ATTACK!,1600,The symbol <i>i</i> is used to represent the imaginary square root of this number,-1
Double Jeopardy!,NAME THE DECADE,1800,"George Orwell, 34 years dead, hits the bestseller list",the 1980s
Double Jeopardy!,WORD ORIGINS,1600,"From the Latin for much writing, it's another name for a lie detector test",a polygraph
Double Jeopardy!,AMERICAN AUTHORS,2000,"He reviewed films & TV for the New Republic before his first book, Goodbye, Columbus, was published in 1959",Philip Roth
Double Jeopardy!,ALBUMS THAT ROCK,2000,"Beggars Banquet, Steel Wheels",the Rolling Stones
Double Jeopardy!,ANATOMY,2000,The pons connects the 2 hemispheres of this part of the brain that regulates balance,the cerebellum
Double Jeopardy!,MATHEM-ATTACK!,2000,"(<a href=http://www.j-archive.com/media/2009-05-08_DJ_30.jpg target=_blank>Jimmy of the Clue Crew shows a geometric diagram on the monitor.</a>)  Half the base times the height gives the area of a triangle; for a <a href=http://www.j-archive.com/media/2009-05-08_DJ_30a.jpg target=_blank>cylinder</a>, the area of the base times the height gives this measurement",volume
Double Jeopardy!,NAME THE DECADE,2000,Man first reaches the South Pole,the 1910s
Double Jeopardy!,WORD ORIGINS,2000,"A type of ear implant to help the deaf, it's from the Greek for snail",cochlear
Final Jeopardy!,EUROPEAN HISTORY,,"He filed for divorce citing Leviticus 20:21, If a man shall take his brother's wife, it is an unclean thing",Henry VIII
Jeopardy!,AMERICAN EXPLORERS,100,Edward Beale brought news of this 1848 discovery in California to the east coast,gold
Jeopardy!,MEASURING DEVICES,100,The amount of this in a solution can be measured by a saccharometer,sugar
Jeopardy!,MYTHOLOGY,100,Daedalus used this substance to fasten the wings to his back,wax
Jeopardy!,TELEVISION,100,This Sunday night series is subtitled The New Adventures of Superman,Lois & Clark
Jeopardy!,ANNUAL EVENTS,100,This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847,Utah
Jeopardy!,HOMOPHONIC PAIRS,100,A complete donut center,whole hole
Jeopardy!,AMERICAN EXPLORERS,200,"Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable",Colorado
Jeopardy!,MEASURING DEVICES,200,The energy from this is measured by a pyrheliometer,the Sun
Jeopardy!,MYTHOLOGY,200,Cadmus planted these parts of a dragon to raise some troops,teeth
Jeopardy!,TELEVISION,200,"Freddy's Nightmares, a horror anthology that debuted in 1988, was based on this movie series",Nightmare on Elm Street
Jeopardy!,ANNUAL EVENTS,200,"Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair",Washington
Jeopardy!,HOMOPHONIC PAIRS,200,"In a restaurant, it's a quartet's table request",for four
Jeopardy!,AMERICAN EXPLORERS,300,Co-commanders of the 1st U.S. expedition to explore from Mississippi to the west coast,Lewis & Clark
Jeopardy!,MEASURING DEVICES,300,An odometer measures the distance covered by a vehicle & this device measures how far you've walked,a pedometer
Jeopardy!,MYTHOLOGY,300,"The sister of Orestes, mourning became her",Electra
Jeopardy!,TELEVISION,300,This crime drama with Robert Wagner & Stefanie Powers was created by Sidney Sheldon,Hart to Hart
Jeopardy!,ANNUAL EVENTS,300,"Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city",New York City
Jeopardy!,HOMOPHONIC PAIRS,300,Contented performing kittens might be paid this way,per purr
Jeopardy!,AMERICAN EXPLORERS,400,Jedediah Smith was a mountain man & explorer employed in this industry,fur trading
Jeopardy!,MEASURING DEVICES,400,A spirometer measures the capacity of these organs,the lungs
Jeopardy!,MYTHOLOGY,400,"Zeus' father, Cronus, was one of this group of 12",Titans
Jeopardy!,TELEVISION,600,"Character seen <a href=http://www.j-archive.com/media/1996-12-06_J_04.wmv>here</a>, his action-packed journeys are legendary:",Hercules (Kevin Sorbo)
Jeopardy!,ANNUAL EVENTS,400,"The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state",Oregon
Jeopardy!,HOMOPHONIC PAIRS,400,A squash that's been pierced by a bull's horn,gored gourd
Jeopardy!,AMERICAN EXPLORERS,500,Senator Thomas Hart Benton's son-in-law was this Pathfinder,John C. Frémont
Jeopardy!,MEASURING DEVICES,500,A nilometer measures the height of the water in this,the Nile River
Jeopardy!,MYTHOLOGY,500,"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
Jeopardy!,TELEVISION,500,"Jack Wagner, formerly of General Hospital, now plays Dr. Peter Burns on this Fox drama",Melrose Place
Jeopardy!,ANNUAL EVENTS,500,The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
Jeopardy!,HOMOPHONIC PAIRS,500,Remained sedate,stayed staid
Double Jeopardy!,NOTABLE NONHUMANS,200,"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
Double Jeopardy!,WORLD FACTS,200,This isthmus connects North & South America,Isthmus of Panama
Double Jeopardy!,ART & ARTISTS,200,He painted Irises & Pink Roses as well as Sunflowers,Vincent Van Gogh
Double Jeopardy!,BUSINESS & INDUSTRY,200,"It has over 9,700 tax preparation offices worldwide",H&R Block
Double Jeopardy!,HISTORY,200,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
Double Jeopardy!,POETS,200,"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
Double Jeopardy!,NOTABLE NONHUMANS,400,"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
Double Jeopardy!,WORLD FACTS,400,"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
Double Jeopardy!,ART & ARTISTS,400,"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
Double Jeopardy!,BUSINESS & INDUSTRY,400,"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
Double Jeopardy!,HISTORY,400,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
Double Jeopardy!,POETS,400,"Between 1842 & 1885, he repeatedly revised his Idylls of the King",Alfred Lord Tennyson
Double Jeopardy!,NOTABLE NONHUMANS,600,"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
Double Jeopardy!,WORLD FACTS,600,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
Double Jeopardy!,ART & ARTISTS,600,"He spent several summers painting pointillist seascapes including Le Bec Du Hoc, Grandcamp",Georges Seurat
Double Jeopardy!,BUSINESS & INDUSTRY,600,In 1934 he plugged Bulova Lone Eagle watches,Charles Lindbergh
Double Jeopardy!,HISTORY,600,In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
Double Jeopardy!,POETS,600,"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
Double Jeopardy!,NOTABLE NONHUMANS,800,"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
Double Jeopardy!,WORLD FACTS,1100,"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
Double Jeopardy!,ART & ARTISTS,800,"His sculpture, The Age of Bronze, exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
Double Jeopardy!,BUSINESS & INDUSTRY,800,Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding 2 billion,Procter & Gamble
Double Jeopardy!,HISTORY,800,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
Double Jeopardy!,POETS,800,Her I Heard a Fly Buzz may have been based on a chapter in The House of the Seven Gables,Emily Dickinson
Double Jeopardy!,NOTABLE NONHUMANS,1000,This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
Double Jeopardy!,WORLD FACTS,1000,In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
Double Jeopardy!,ART & ARTISTS,1000,You can see this British sculptor's Reclining Mother and Child at the Walker Art Center in Minneapolis,Henry Moore
Double Jeopardy!,BUSINESS & INDUSTRY,600,In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
Double Jeopardy!,HISTORY,1000,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
Double Jeopardy!,POETS,1000,"He once wrote, I choose to be a plain New Hampshire farmer",Robert Frost
Final Jeopardy!,BRITISH NOVELS,,This 1895 novel is subtitled An Invention,The Time Machine
Jeopardy!,LOST IN SPACE,200,"While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these",pliers
Jeopardy!,TIMELESS TV,200,September 2010 brought the 45th edition of this comedian's telethon,Jerry Lewis
Jeopardy!,LET'S HIT IT,200,"Hit this paper mache container, Spanish for jug, if you want candy and small gifts",pinata
Jeopardy!,WORLD BOOK DESCRIBES THE G MAN,200,"In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker",Gingrich
Jeopardy!,MONEY SLANG,200,"We'll give you 200, not 1,000, for this five letter word meaning stately or majestic",grand
Jeopardy!,RVs,200,"(<a href=http://www.j-archive.com/media/2010-12-07_J_26.jpg target=_blank>Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the <a href=http://www.j-archive.com/media/2010-12-07_J_26a.jpg target=_blank>wheels</a> that do the work",front-wheel drive
Jeopardy!,LOST IN SPACE,400,"In its years of operation, this Soviet space station released more than 200 objects (mostly trash) into space",Mir
Jeopardy!,TIMELESS TV,400,"Originally a half hour, this soap started in 1963 & featured Nurse Jessie Brewer",General Hospital
Jeopardy!,LET'S HIT IT,400,This word seen on doors is what a right-handed batter does when he hits the ball to left field,pull
Jeopardy!,WORLD BOOK DESCRIBES THE G MAN,400,"See Simon, Paul",(Art) Garfunkel
Jeopardy!,MONEY SLANG,400,"Proverbially, you can break this food, or take (it) out of someone's mouth; earn some dough",bread
Jeopardy!,RVs,400,"(<a href=http://www.j-archive.com/media/2010-12-07_J_27.jpg target=_blank>Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  I'm behind the wheel of the <a href=http://www.j-archive.com/media/2010-12-07_J_27a.jpg target=_blank>very first motor home</a>, from the company whose name has become a synonym for motor home; since 1967, they've sold over 400,000 of them",Winnebago
Jeopardy!,LOST IN SPACE,600,"Ed White, the first U.S. spacewalker, lost one of these outside Gemini 4; he must've looked like a later moonwalker",a glove
Jeopardy!,TIMELESS TV,600,In 1948 Douglas Edwards became the first anchor of this network's Evening News,CBS
Jeopardy!,LET'S HIT IT,600,Aaron Fechter invented this carnival game where you hit a mammal with a mallet,Whack-A-Mole
Jeopardy!,WORLD BOOK DESCRIBES THE G MAN,600,American poet... became known as a leader of the Beat literary movement of the 1950s,(Allen) Ginsberg
Jeopardy!,MONEY SLANG,2200,The shell of this mollusk is composed chiefly of calcium carbonate,a clam
Jeopardy!,RVs,600,"(<a href=http://www.j-archive.com/media/2010-12-07_J_28.jpg target=_blank>Kelly of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  One of the first times a movie star received a <a href=http://www.j-archive.com/media/2010-12-07_J_28a.jpg target=_blank>fancy trailer</a> as a perk was in 1931; Paramount gave a <a href=http://www.j-archive.com/media/2010-12-07_J_28b.jpg target=_blank>Chevy house car</a> to <a href=http://www.j-archive.com/media/2010-12-07_J_28c.jpg target=_blank> this</a> sexy star as she left the stage to make movies like She Done Him Wrong",Mae West
Jeopardy!,LOST IN SPACE,800,Piers Sellers lost a tool in space while spreading putty into this Space Shuttle named for Capt. Cook's ship,Discovery
Jeopardy!,TIMELESS TV,800,"Shown Saturday afternoons on ABC, this sport's tour outdrew college football & moved to ESPN in 1997",the pro bowling tour
Jeopardy!,LET'S HIT IT,800,Everlast makes these that come in speed and heavy varieties,punching bags
Jeopardy!,WORLD BOOK DESCRIBES THE G MAN,800,"Served under the Apache leaders Cochise and Mangas Coloradas... in 1894, he was moved to Fort Sill",Geronimo
Jeopardy!,MONEY SLANG,800,You don't get 5 guesses at this winglike appendage to the underwater portion of a hull,a fin
Jeopardy!,LOST IN SPACE,1000,In 1992 Space Shuttle astronauts delivered ashes of this Star Trek creator into the final frontier,Gene Roddenberry
Jeopardy!,TIMELESS TV,1000,2010's When Love Is Not Enough was the 240th presentation in this series from a greeting card company,Hallmark Hall of Fame
Jeopardy!,LET'S HIT IT,1000,"In some casinos, a blackjack dealer must hit with an ace & a 6, known as this type of 17",soft
Jeopardy!,WORLD BOOK DESCRIBES THE G MAN,1000,One of the most original and provocative American architects working today,(Frank) Gehry
Jeopardy!,MONEY SLANG,1000,"When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized",the Benjamins
Double Jeopardy!,PLAY HEROINES,400,Blanche DuBois,A Streetcar Named Desire
Double Jeopardy!,DEFENESTRATION IN CINEMA,400,"Giving the devil his due, Fr. Karras invites the devil inside himself, then exits from the second floor in this 1973 movie",The Exorcist
Double Jeopardy!,A MASSIVE METROPOLIS,400,3.6 million: Down Under,Melbourne
